34,-44,-66
-62,72,-61
10,58,14
-99,43,-88
-98,10,-60
81,22,87
75,-5,69
0,-91,-48
-83,-39,98
-67,-16,-95
-84,17,-34
-52,90,80
29,22,13
97,51,-38
90,64,-54
21,-74,-9
16,-40,-77
-32,44,-29
28,-10,28
-27,75,27
-43,3,-100
-93,-85,38
-61,-67,30
-39,36,-84
-50,42,79
-39,-75,9
24,-27,30
-72,31,75
-81,31,93
-96,74,-21
-62,4,-73
-40,30,-62
-14,-16,-54
-86,-21,76
22,-16,-39
-17,-41,6
-85,2,-13
-26,99,60
-78,7,-82
39,61,-79
48,-36,70
56,-2,36
32,-29,-46
-40,-42,-53
-88,75,-59
-52,-38,-66
-9,-50,-55
-50,32,37
59,30,89
-18,21,54
82,-67,-39
-56,-74,76
-5,36,-1
-93,-68,-50
-48,62,28
17,-1,-61
5,83,-88
67,79,-67
86,27,45
73,-68,41
-62,46,-51
-7,-61,-94
-77,-100,-77
55,-39,-45
27,-83,-22
-63,-100,-67
-64,-5,-56
41,84,83
29,51,28
-28,67,66
-25,53,55
8,95,-62
-58,59,-96
100,32,58
56,-35,22
-90,-72,42
67,-83,-100
87,-80,10
-99,-6,79
-47,-10,-66
94,46,-62
-32,-53,-51
11,4,-31
66,77,-63
22,-48,-62
-49,6,-4
-80,-33,84
42,-76,15
-48,-10,9
-77,1,25
-77,-42,61
-11,29,30
62,-18,-45
-56,44,17
-76,-90,-93
59,44,-77
-34,-31,-43
-73,59,-31
-29,50,5
-24,-56,-18
-75,63,-85
-59,55,-8
11,-1,-49
-49,74,-24
-43,-91,0
21,7,-1
59,59,55
-18,41,90
-58,-57,66
2,70,61
-9,-70,-20
57,-62,-2
87,-99,1
79,21,-12
-23,-24,7
-50,-74,-31
-96,-32,-49
68,83,-13
39,-15,-52
28,-95,-69
37,89,-54
-38,-4,-34
-66,48,-99
86,-45,89
-53,-59,-9
-33,76,74
-9,96,35
79,-4,-16
82,-18,88
-32,-94,-3
-40,-44,-35
-71,0,-67
64,-79,83
-57,-76,49
22,92,39
100,-61,81
-8,2,0
45,-37,-11
23,54,-14
16,-66,2
87,60,-24
1,-66,-45
8,-23,95
-16,73,0
-98,83,73
-88,46,8
43,-50,-90
9,-39,-74
-37,-93,2
-97,-83,-46
-33,-60,-16
-25,40,91
-1,-11,-83
-62,88,-73
-23,-90,93
-2,-4,-97
40,94,-35
31,-87,-58
52,52,-87
3,-48,-60
-31,-79,-27
-59,83,5
24,-27,-31
-84,-2,-24
-74,0,97
34,90,-64
-87,-11,-80
90,-74,-52
-100,8,92
-36,-59,37
54,77,74
-67,-97,-39
98,3,28
89,-36,79
-22,65,18
-34,-10,27
-43,-59,17
-5,-71,-11
-45,74,-79
-57,-61,-7
76,-51,65
80,42,100
56,-2,-51
29,-32,-77
-71,36,-56
-80,38,78
-86,-9,-38
-64,-90,-91
-84,64,-17
64,57,-96
89,-62,-11
-75,-83,40
7,98,-29
-58,42,40
9,-11,51
-12,-92,-31 
